time,(LX)
"12,250,000.00","49,503,190,000"
"12,300,000.00","49,499,050,000"
"12,350,000.00","49,498,160,000"
"12,400,000.00","49,501,120,000"
"12,450,000.00","49,495,590,000"
"12,500,000.00","49,501,320,000"
"12,550,000.00","49,502,400,000"
"12,600,000.00","49,499,640,000"
"12,650,000.00","49,493,810,000"
"12,700,000.00","49,495,880,000"
"12,750,000.00","49,505,960,000"
"12,800,000.00","49,497,760,000"
"12,850,000.00","49,495,290,000"
"12,900,000.00","49,492,530,000"
"12,950,000.00","49,499,050,000"
"13,000,000.00","49,498,550,000"
"13,050,000.00","49,494,500,000"
"13,100,000.00","49,489,170,000"
"13,150,000.00","49,494,300,000"
"13,200,000.00","49,499,140,000"
"13,250,000.00","49,502,500,000"
"13,300,000.00","49,495,590,000"
"13,350,000.00","49,496,580,000"
"13,400,000.00","49,493,610,000"
"13,450,000.00","49,495,090,000"
"13,500,000.00","49,498,350,000"
"13,550,000.00","49,500,720,000"
"13,600,000.00","49,496,480,000"
"13,650,000.00","49,497,270,000"
"13,700,000.00","49,490,550,000"
"13,750,000.00","49,493,320,000"
"13,800,000.00","49,488,180,000"
"13,850,000.00","49,490,650,000"
"13,900,000.00","49,488,870,000"
"13,950,000.00","49,492,130,000"
"14,000,000.00","49,495,390,000"
"14,050,000.00","49,500,230,000"
"14,100,000.00","49,504,770,000"
"14,150,000.00","49,492,030,000"
"14,200,000.00","49,499,640,000"
"14,250,000.00","49,495,390,000"
"14,300,000.00","49,496,670,000"
"14,350,000.00","49,496,080,000"
"14,400,000.00","49,492,230,000"
"14,450,000.00","49,494,900,000"
"14,500,000.00","49,497,070,000"
"14,550,000.00","49,500,130,000"
"14,600,000.00","49,506,650,000"
"14,650,000.00","49,499,440,000"
"14,700,000.00","49,506,160,000"
"14,750,000.00","49,503,890,000"
"14,800,000.00","49,502,210,000"
"14,850,000.00","49,510,010,000"
"14,900,000.00","49,501,810,000"
"14,950,000.00","49,504,280,000"
"15,000,000.00","49,504,280,000"
"15,050,000.00","49,508,730,000"
"15,100,000.00","49,502,700,000"
"15,150,000.00","49,496,280,000"
"15,200,000.00","49,507,640,000"
"15,250,000.00","49,510,700,000"
"15,300,000.00","49,507,640,000"
"15,350,000.00","49,511,890,000"
"15,400,000.00","49,511,690,000"
"15,450,000.00","49,511,790,000"
"15,500,000.00","49,500,820,000"
"15,550,000.00","49,509,520,000"
"15,600,000.00","49,507,540,000"
"15,650,000.00","49,505,170,000"
"15,700,000.00","49,495,190,000"
"15,750,000.00","49,494,110,000"
"15,800,000.00","49,508,920,000"
"15,850,000.00","49,514,060,000"
"15,900,000.00","49,511,890,000"
"15,950,000.00","49,505,270,000"
"16,000,000.00","49,505,660,000"
"16,050,000.00","49,513,270,000"
"16,100,000.00","49,510,600,000"
"16,150,000.00","49,504,180,000"
"16,200,000.00","49,513,760,000"
"16,250,000.00","49,515,640,000"
"16,300,000.00","49,513,760,000"
"16,350,000.00","49,508,530,000"
"16,400,000.00","49,505,860,000"
"16,450,000.00","49,509,120,000"
"16,500,000.00","49,503,490,000"
"16,550,000.00","49,502,310,000"
"16,600,000.00","49,502,900,000"
"16,650,000.00","49,506,750,000"
"16,700,000.00","49,495,390,000"
"16,750,000.00","49,500,530,000"
"16,800,000.00","49,506,650,000"
"16,850,000.00","49,503,890,000"
"16,900,000.00","49,498,650,000"
"16,950,000.00","49,501,320,000"
"17,000,000.00","49,496,380,000"
"17,050,000.00","49,505,660,000"
"17,100,000.00","49,501,120,000"
"17,150,000.00","49,497,760,000"
"17,200,000.00","49,505,960,000"
"17,250,000.00","49,503,290,000"
"17,300,000.00","49,505,960,000"
"17,350,000.00","49,504,970,000"
"17,400,000.00","49,500,330,000"
"17,450,000.00","49,508,730,000"
"17,500,000.00","49,513,270,000"
"17,550,000.00","49,506,850,000"
"17,600,000.00","49,497,070,000"
"17,650,000.00","49,502,010,000"
"17,700,000.00","49,501,320,000"
"17,750,000.00","49,518,700,000"
"17,800,000.00","49,520,880,000"
"17,850,000.00","49,514,750,000"
"17,900,000.00","49,511,990,000"
"17,950,000.00","49,498,650,000"
"18,000,000.00","49,492,430,000"
"18,050,000.00","49,492,130,000"
"18,100,000.00","49,493,510,000"
"18,150,000.00","49,494,500,000"
"18,200,000.00","49,490,060,000"
"18,250,000.00","49,491,540,000"
"18,300,000.00","49,484,720,000"
"18,350,000.00","49,492,820,000"
"18,400,000.00","49,494,110,000"
"18,450,000.00","49,491,540,000"
"18,500,000.00","49,490,750,000"
"18,550,000.00","49,496,380,000"
"18,600,000.00","49,487,880,000"
"18,650,000.00","49,497,070,000"
"18,700,000.00","49,493,610,000"
"18,750,000.00","49,501,320,000"
"18,800,000.00","49,500,630,000"
"18,850,000.00","49,503,190,000"
"18,900,000.00","49,488,280,000"
"18,950,000.00","49,490,650,000"
"19,000,000.00","49,491,240,000"
"19,050,000.00","49,490,450,000"
"19,100,000.00","49,490,450,000"
"19,150,000.00","49,493,020,000"
"19,200,000.00","49,490,950,000"
"19,250,000.00","49,494,800,000"
"19,300,000.00","49,493,320,000"
"19,350,000.00","49,498,550,000"
"19,400,000.00","49,499,140,000"
"19,450,000.00","49,491,740,000"
"19,500,000.00","49,498,060,000"
"19,550,000.00","49,495,000,000"
"19,600,000.00","49,491,640,000"
"19,650,000.00","49,488,280,000"
"19,700,000.00","49,493,610,000"
"19,750,000.00","49,501,520,000"
"19,800,000.00","49,500,230,000"
"19,850,000.00","49,496,280,000"
"19,900,000.00","49,501,810,000"
"19,950,000.00","49,503,690,000"
"20,000,000.00","49,493,610,000"
"20,050,000.00","49,495,880,000"
"20,100,000.00","49,501,420,000"
"20,150,000.00","49,507,540,000"
"20,200,000.00","49,501,020,000"
"20,250,000.00","49,506,850,000"
"20,300,000.00","49,502,800,000"
"20,350,000.00","49,502,800,000"
"20,400,000.00","49,498,750,000"
"20,450,000.00","49,496,180,000"
"20,500,000.00","49,500,820,000"
"20,550,000.00","49,501,910,000"
"20,600,000.00","49,495,000,000"
"20,650,000.00","49,502,500,000"
"20,700,000.00","49,509,120,000"
"20,750,000.00","49,504,380,000"
"20,800,000.00","49,507,340,000"
"20,850,000.00","49,502,700,000"
"20,900,000.00","49,504,180,000"
"20,950,000.00","49,505,660,000"
"21,000,000.00","49,505,760,000"
"21,050,000.00","49,498,060,000"
"21,100,000.00","49,498,650,000"
"21,150,000.00","49,497,960,000"
"21,200,000.00","49,497,960,000"
